 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   4.32172678E-02   2.10857320       9795.15625    
   4.46367823E-02   2.04151750       10199.3809    
   4.61029261E-02   1.97659421       10337.0176    
   4.76172231E-02   1.91373563       9560.99609    
   4.91812602E-02   1.85287595       9744.14844    
   5.07966690E-02   1.79395175       11688.0234    
   5.24651371E-02   1.73690152       10301.4111    
   5.41884080E-02   1.68166542       11939.1006    
   5.59682809E-02   1.62818611       10227.4619    
   5.78066185E-02   1.57640731       9717.98047    
   5.97053356E-02   1.52627528       9542.71777    
   6.16664179E-02   1.47773743       9245.18945    
   6.21999986E-02   1.46506071       8465.61133    
   6.25000000E-02   1.45802844       11761.3232    
   6.27999976E-02   1.45106339       10541.4688    
   6.36919141E-02   1.43074322       13843.4482    
   6.57839403E-02   1.38524354       11493.9697    
   6.79446831E-02   1.34119070       11206.8242    
   7.01763928E-02   1.29853892       12405.9180    
   7.24814087E-02   1.25724339       12011.3711    
   7.48621374E-02   1.21726120       10704.7354    
   7.73210600E-02   1.17855048       10674.2109    
   7.98607469E-02   1.14107084       10101.3857    
   8.24838579E-02   1.10478318       10006.0820    
   8.51931274E-02   1.06964934       9812.89258    
   8.79913792E-02   1.03563297       9652.11816    
   9.08815488E-02   1.00269830       10194.7178    
   9.38666463E-02  0.970811009       9700.33496    
   9.69497934E-02  0.939937770       9446.77051    
  0.100134209      0.910046399       9226.12207    
  0.103423215      0.881105602       9035.68652    
  0.106820256      0.853085160       8848.03516    
  0.110328875      0.825955808       8967.62500    
  0.110870004      0.821924508       3274.02466    
  0.111170001      0.819706500       14056.3057    
  0.111469999      0.817500472       15091.7832    
  0.113952741      0.799689174       15462.6885    
  0.115800001      0.786932409       13305.9746    
  0.116099998      0.784898996       16064.3545    
  0.116399996      0.782876074       15640.7021    
  0.117695637      0.774257898       15572.8027    
  0.121561475      0.749635339       16350.5576    
  0.122180000      0.745840371       15740.2891    
  0.122479998      0.744013548       15203.7617    
  0.122779995      0.742195606       14724.3320    
  0.125554278      0.725795865       13648.1006    
  0.129678249      0.702714384       12893.3105    
  0.133937657      0.680367112       12800.2266    
  0.137019992      0.665061891       11856.6445    
  0.137319997      0.663608909       11187.3926    
  0.137620002      0.662162304       13708.7617    
  0.138336971      0.658730447       13413.9355    
  0.142880797      0.637781799       11534.2412    
  0.147573858      0.617499411       11618.4707    
  0.152421072      0.597862065       11703.1318    
  0.157427505      0.578849137       11669.1865    
  0.162598372      0.560440898       11298.0938    
  0.167939082      0.542618036       10954.6592    
  0.173455209      0.525362015       10360.6807    
  0.179152533      0.508654654       9436.75977    
  0.185036972      0.492478728       9611.48047    
  0.191114709      0.476817161       9041.13086    
  0.197392061      0.461653709       9266.14453    
  0.203875616      0.446972400       9206.53125    
  0.210572109      0.432758033       8294.21973    
  0.217488572      0.418995678       8067.16992    
  0.224632204      0.405671030       8889.16797    
  0.232010484      0.392770082       8537.63281    
  0.239631101      0.380279422       8033.13721    
  0.247329995      0.368442059       7937.87598    
  0.247502029      0.368185967       8031.97607    
  0.247630000      0.367995709       8043.28076    
  0.247930005      0.367550403       7963.66211    
  0.249639988      0.365032762       7535.50830    
  0.249939993      0.364594609       29546.1992    
  0.250239998      0.364157498       31329.7500    
  0.255631477      0.356477141       29335.2852    
  0.264027953      0.345140636       25530.6406    
  0.266000003      0.342581868       24998.9395    
  0.266299993      0.342195928       25531.5000    
  0.266599983      0.341810882       26865.2480    
  0.272700250      0.334164619       26142.0215    
  0.281657368      0.323537678       23981.1387    
  0.290908694      0.313248724       22111.0098    
  0.291590005      0.312516809       22801.5254    
  0.291889995      0.312195599       22089.0469    
  0.292189986      0.311875075       22503.5234    
  0.300463885      0.303286940       20329.9785    
  0.310332924      0.293641984       19200.0859    
  0.320526123      0.284303725       18373.5254    
  0.331054121      0.275262475       16341.6113    
  0.341927946      0.266508698       16110.0283    
  0.353158921      0.258033335       15258.4668    
  0.364758790      0.249827489       14123.6260    
  0.376739651      0.241882622       13561.3936    
  0.389114052      0.234190404       13451.7119    
  0.401894897      0.226742804       12593.3125    
  0.415095568      0.219532028       12179.9990    
  0.428729802      0.212550595       12438.5020    
  0.442811877      0.205791175       15464.0264    
  0.457356483      0.199246705       31923.3184    
  0.472378820      0.192910373       32300.2148    
  0.487894595      0.186775535       33357.5156    
  0.503919959      0.180835813       33997.9414    
  0.520471692      0.175084978       34737.7305    
  0.537567139      0.169517010       35762.6523    
  0.555224061      0.164126128       36346.8359    
  0.573460996      0.158906668       38389.7930    
  0.592296898      0.153853208       38688.2891    
  0.611751497      0.148960441       41030.8516    
  0.631845117      0.144223273       41377.6484    
  0.652598739      0.139636755       42901.1992    
  0.674033999      0.135196105       43069.3281    
  0.696173370      0.130896673       44219.7656    
  0.719039917      0.126733959       43968.7305    
  0.742657542      0.122703627       40537.1523    
  0.761145711      0.119723164       42945.3789    
  0.761445701      0.119676001       49341.7695    
  0.761745691      0.119628869       43603.8867    
  0.767050862      0.118801475       45082.6875    
  0.792245448      0.115023412       46541.5000    
  0.818267584      0.111365497       48389.3398    
  0.827294469      0.110150352       48532.9727    
  0.827594459      0.110110424       37866.9219    
